e:\ytison\documents\recherche\kalpha\mg-ionmtp-2015\bisb-electrolyte\x-ray005 400um - fg  on\sb-electrolyte-1\avg\sb-electrodemouilleev2.vms
C1s Scan
	Characteristic Energy eV	1486.68	Acquisition Time s	2.5
KE_C1s Scan	BE_C1s Scan	CPS_C1s Scan	C 1s_1_C1s Scan	C 1s_2_C1s Scan	C 1s_3_C1s Scan	C 1s_4_C1s Scan	C 1s_5_C1s Scan	C1s_6_C1s Scan	C1s_7_C1s Scan	Background_C1s Scan	Envelope_C1s Scan
1201.4	285.28	5318.48	819.22	1267.5	635.84	4551.84	721.655	638.165	636.02	635.84	5455.2
1201.5	285.18	5711.8	1090.43	1109.67	620.984	4738.52	683.38	625.249	621.091	620.984	5763.43
1201.6	285.08	6254.76	1673.53	973.677	604.495	4825.38	649.053	612.061	604.557	604.495	6315.78
1201.7	284.98	7211.8	2735.38	857.756	585.157	4800.96	616.569	598.156	585.193	585.157	7268.22
1201.8	284.88	8739.64	4336.44	758.182	561.29	4667.23	583.07	582.88	561.311	561.29	8682.66
1201.9	284.78	10215.9	6220.76	672.23	533.034	4428.87	547.917	567.65	533.045	533.034	10305.3
1202	284.68	11479	7709.8	597.368	500.997	4108.81	511.025	554.539	501.003	500.997	11477.6
1202.1	284.58	11488.6	8033.74	534.204	468.839	3728.86	475.48	548.636	468.842	468.839	11445.6
1202.2	284.48	10016.7	6989.06	484.342	440.895	3319.71	445.245	555.314	440.896	440.895	10030.1
1202.3	284.38	7778.28	5144.56	447.725	419.42	2905.48	422.214	576.958	419.421	419.42	7819.26
1202.4	284.28	5654.08	3300.84	422.177	404.099	2505.99	405.878	611.827	404.099	404.099	5630.32
1202.5	284.18	3975.51	1931.32	404.966	393.646	2134.68	394.757	655.027	393.647	393.646	3946.16
1202.6	284.08	2872.69	1103.46	393.341	386.391	1801.5	387.076	699.24	386.391	386.391	2839.05
1202.7	283.98	2196.76	677.606	385.276	381.092	1509.17	381.509	736.175	381.092	381.092	2165.36
1202.8	283.88	1774.32	486.383	379.484	377.014	1261.52	377.263	758.188	377.015	377.014	1754.78
1202.9	283.78	1409.15	410.057	375.423	373.994	1054.94	374.141	760.349	373.994	373.994	1478.93
1203	283.68	1154.26	382.352	372.521	371.71	887.694	371.795	741.172	371.71	371.71	1268.69
1203.1	283.58	1014.3	372.64	370.28	369.829	754.387	369.878	703.631	369.829	369.829	1091.5
1203.2	283.48	890.424	368.97	368.552	368.306	650.295	368.333	653.935	368.306	368.306	936.862
1203.3	283.38	791.22	367.208	367.2	367.068	570.886	367.083	599.236	367.068	367.068	803.341
1203.4	283.28	716.04	366.073	366.116	366.047	510.776	366.055	545.886	366.047	366.047	690.72
1203.5	283.18	678.196	365.137	365.169	365.133	466.714	365.137	498.3	365.133	365.133	599.926
1203.6	283.08	605.76	364.429	364.447	364.429	434.428	364.431	458.972	364.429	364.429	528.993
1203.7	282.98	575.236	363.812	363.821	363.812	411.474	363.813	428.371	363.812	363.812	476.044
1203.8	282.88	555.96	363.249	363.254	363.249	395.161	363.25	405.706	363.249	363.249	437.623
1203.9	282.78	556.912	362.682	362.685	362.682	383.748	362.683	389.607	362.682	362.682	410.674
1204	282.68	499.144	362.283	362.284	362.283	375.995	362.283	378.764	362.283	362.283	392.477
1204.1	282.58	496.584	361.89	361.89	361.89	370.661	361.89	371.633	361.89	361.89	380.404
1204.2	282.48	482.86	361.536	361.536	361.536	367.09	361.536	367.101	361.536	361.536	372.655
1204.3	282.38	456.44	361.258	361.258	361.258	364.703	361.258	364.338	361.258	361.258	367.783
1204.4	282.28	438.296	361.033	361.033	361.033	363.153	361.033	362.682	361.033	361.033	364.802
1204.5	282.18	434.452	360.818	360.818	360.818	362.096	360.818	361.672	360.818	360.818	362.951
1204.6	282.08	416.336	360.655	360.655	360.655	361.418	360.655	361.083	360.655	360.655	361.845
1204.7	281.98	435.764	360.436	360.436	360.436	360.883	360.436	360.642	360.436	360.436	361.09
1204.8	281.88	408.324	360.295	360.295	360.295	360.553	360.295	360.392	360.295	360.295	360.65
1204.9	281.78	426.964	360.1	360.1	360.1	360.248	360.1	360.144	360.1	360.1	360.291
1205	281.68	390.794	360.01	360.01	360.01	360.093	360.01	360.03	360.01	360.01	360.112
1205.1	281.58	384.436	359.939	359.939	359.939	359.985	359.939	359.947	359.939	359.939	359.993
1205.2	281.48	406.98	359.801	359.801	359.801	359.826	359.801	359.805	359.801	359.801	359.829
1205.3	281.38	394.55	359.7	359.7	359.7	359.713	359.7	359.701	359.7	359.7	359.714
